account_number,balance
1000,225200.19
1001,-193.15
1010,210960.76
1100,9866.88
1200,84146.39
1300,886750
1310,2675839
1350,-234370.69
1410,-11150.18
1500,5152701.14
1900,370267.18
1901,798180.76
1902,-22196.71
1903,411546.08
1999,-1098753.78
2000,406
2010,158318.51
2110,4676217
2999,4977737.74
3100,-450100.22
4000,418262.04
4100,376245.87
5000,738194.74
5100,-9526.14
5200,5449.79
5300,72173.9
5500,4588.22
5600,81175.46
5700,21275.1
5800,-38
