account_number,balance
1000,144648.17
1200,12952.35
1300,175000
1350,7453.03
1500,177635.63
1900,22496.91
1999,-7281.78
2011,-1763.69
2110,263317.71
3100,104160.09
4000,211122.41
5000,119638.78
