Tax Year Financial Package — OMC Housing LLC
Tax Year,2025
Basis,Cash
Statement Source,qbo_rollup
Tax Return Ready,NO
Period Closed,NO

PROFIT AND LOSS
Account,Amount
4000 Gain-Loss-On-Sale-Of-Real-Estate,211122.41
Total Revenue,211122.41
5000 Bank-Service-Charges,119638.78
Total Expense,119638.78
Net Income,91483.63

BALANCE SHEET
Section,Account,Amount
Asset,1000 Accounts-Receivable,144648.17
Asset,1200 Accounts Receivable,12952.35
Asset,1300 Notes Receivable,175000
Asset,1350 Deposits & Holdbacks,7453.03
Asset,1500 Real Estate Owned,177635.63
Asset,1900 Real-Estate:Accumulated-Depreciation,22496.91
Asset,1999 Account 1999,-7281.78
Liability,2011 Credit Card - Chase,-1763.69
Liability,2110 Notes Payable - Banks,263317.71
Equity,3100 Retained Earnings,104160.09
Equity,3900 Opening Balance Equity,75706.57
Equity,Current Year Net Income,91483.63
Equity,Total Equity (incl. net income),271350.29

TRIAL BALANCE
Account,Type,Debit,Credit
1000 Accounts-Receivable,ASSET,144648.17,0
1200 Accounts Receivable,ASSET,12952.35,0
1300 Notes Receivable,ASSET,175000,0
1350 Deposits & Holdbacks,ASSET,7453.03,0
1500 Real Estate Owned,ASSET,177635.63,0
1900 Real-Estate:Accumulated-Depreciation,ASSET,22496.91,0
1999 Account 1999,ASSET,0,7281.78
2011 Credit Card - Chase,LIABILITY,1763.69,0
2110 Notes Payable - Banks,LIABILITY,0,263317.71
3100 Retained Earnings,EQUITY,0,104160.09
4000 Gain-Loss-On-Sale-Of-Real-Estate,REVENUE,0,211122.41
5000 Bank-Service-Charges,EXPENSE,119638.78,0
3900 Opening Balance Equity,EQUITY,0,75706.57
Totals,,661588.56,661588.56

DISCLOSURES FOR CPA
Account,Amount,Note
1999 Other Assets (Opening Rollup),-7281.78,"Other Assets rollup from QBO migration — reclass to detail for CPA if material"
3900 Opening Balance Equity,75706.57,"Opening Balance Equity — conversion plug; reclass to permanent equity after CPA review"

READINESS CHECKS
QBO rolled opening-balance file present for tax year-end,PASS
Trial balance debits equal credits,PASS
Balance sheet assets equal liabilities + equity (incl. net income),PASS
QBO source trial balance balanced,PASS
Profit & loss has QBO year activity (or inactive holding entity with BS only),PASS
Balance sheet has material balances (full year-end TB, not thin cutover GL),PASS
Accounting period closed with integrity (isClosed: true),FAIL
2 conversion/clearing account(s) disclosed for CPA review,PASS
