Tax Year Financial Package — Justin Financial LLC
Tax Year,2025
Basis,Cash
Statement Source,qbo_rollup
Tax Return Ready,NO
Period Closed,NO

PROFIT AND LOSS
Account,Amount
Total Revenue,0
5000 Bank-Service-Charges,18115.51
Total Expense,18115.51
Net Income,-18115.51

BALANCE SHEET
Section,Account,Amount
Asset,1000 Cash:Ckg-At-Simmons-5865,18632.32
Asset,1350 Rehab Holdbacks,85000
Asset,1500 Real Estate Owned,1317297.95
Asset,1900 Due From - LJC Financial,187638.17
Liability,2000 Accounts-Payable,525763.44
Liability,2900 Notes Payable - LJC Financial (Loans),1689386
Liability,2910 Due To - 4J&L Partners,643522.69
Liability,2901 Due To - LJC Financial (Intercompany),798180.76
Equity,3100 Retained Earnings,-994488.18
Equity,3900 Opening Balance Equity,-1035680.76
Equity,Current Year Net Income,-18115.51
Equity,Total Equity (incl. net income),-2048284.45

TRIAL BALANCE
Account,Type,Debit,Credit
1000 Cash:Ckg-At-Simmons-5865,ASSET,18632.32,0
1350 Rehab Holdbacks,ASSET,85000,0
1500 Real Estate Owned,ASSET,1317297.95,0
1900 Due From - LJC Financial,ASSET,187638.17,0
2000 Accounts-Payable,LIABILITY,0,525763.44
2900 Notes Payable - LJC Financial (Loans),LIABILITY,0,1689386
2910 Due To - 4J&L Partners,LIABILITY,0,643522.69
3100 Retained Earnings,EQUITY,994488.18,0
5000 Bank-Service-Charges,EXPENSE,18115.51,0
2901 Due To - LJC Financial (Intercompany),LIABILITY,0,798180.76
3900 Opening Balance Equity,EQUITY,1035680.76,0
Totals,,3656852.89,3656852.89

DISCLOSURES FOR CPA
Account,Amount,Note
3900 Opening Balance Equity,-1035680.76,"Opening Balance Equity — conversion plug; reclass to permanent equity after CPA review"

READINESS CHECKS
QBO rolled opening-balance file present for tax year-end,PASS
Trial balance debits equal credits,PASS
Balance sheet assets equal liabilities + equity (incl. net income),PASS
QBO source trial balance balanced,PASS
Profit & loss has QBO year activity (or inactive holding entity with BS only),PASS
Balance sheet has material balances (full year-end TB, not thin cutover GL),PASS
Accounting period closed with integrity (isClosed: true),FAIL
1 conversion/clearing account(s) disclosed for CPA review,PASS
